condition,training_seed,case_id,terrain_kind,quality_failure_reasons,source_csv,tail_bias_mps,tail_variance_m2ps2,tail_std_mps,tail_rmse_mps,tail_bias_share_of_mse,tail_failure_type
curriculum_rl,1000,tracking_v2_holdout_00_flat,flat,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/curriculum_rl_seed_1000/tracking_v2_holdout_00_flat.csv,-0.037060508404455156,0.00014233425774968532,0.011930392187589029,0.038933475839518575,0.906100541982291,bias_dominated_slow
curriculum_rl,1000,tracking_v2_holdout_01_flat,flat,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/curriculum_rl_seed_1000/tracking_v2_holdout_01_flat.csv,-0.060049315972444166,0.0002122772021944482,0.014569735831319942,0.06179156537063037,0.9444038189848318,bias_dominated_slow
curriculum_rl,1000,tracking_v2_holdout_02_flat,flat,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/curriculum_rl_seed_1000/tracking_v2_holdout_02_flat.csv,-0.06872372999474714,0.00017523988165557035,0.013237820124762625,0.0699870769931598,0.9642235503707726,bias_dominated_slow
curriculum_rl,1000,tracking_v2_holdout_03_flat,flat,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/curriculum_rl_seed_1000/tracking_v2_holdout_03_flat.csv,-0.05120448115195362,0.00017224275006281372,0.013124128544890656,0.052859640938088,0.9383557556314754,bias_dominated_slow
curriculum_rl,1000,tracking_v2_holdout_04_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/curriculum_rl_seed_1000/tracking_v2_holdout_04_bumps.csv,-0.10606933082490641,0.0005075800851578207,0.022529538059130744,0.10843561696601935,0.9568321255747231,bias_dominated_slow
curriculum_rl,1000,tracking_v2_holdout_05_bumps,bumps,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/curriculum_rl_seed_1000/tracking_v2_holdout_05_bumps.csv,0.05110409263322649,0.007010169912313841,0.08372675744535818,0.09809076509121148,0.27142829548248665,mixed
curriculum_rl,1000,tracking_v2_holdout_06_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/curriculum_rl_seed_1000/tracking_v2_holdout_06_bumps.csv,-0.08049437360665009,0.0016679430830710312,0.04084045889887908,0.0902623247285267,0.7952762645113929,mixed
curriculum_rl,1000,tracking_v2_holdout_07_bumps,bumps,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/curriculum_rl_seed_1000/tracking_v2_holdout_07_bumps.csv,-0.05135655985678418,0.001566618965362762,0.03958053770936876,0.064839148711918,0.6273606005744438,mixed
curriculum_rl,1000,tracking_v2_holdout_08_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/curriculum_rl_seed_1000/tracking_v2_holdout_08_bumps.csv,-0.10344967692122267,0.0007630007213942284,0.027622467691975468,0.10707397618702491,0.9334486165927135,bias_dominated_slow
curriculum_rl,1000,tracking_v2_holdout_09_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/curriculum_rl_seed_1000/tracking_v2_holdout_09_bumps.csv,-0.08736502522055922,0.00012992341093404045,0.011398395103436293,0.08810545410315407,0.9832628377609716,bias_dominated_slow
curriculum_rl,1000,tracking_v2_holdout_10_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/curriculum_rl_seed_1000/tracking_v2_holdout_10_bumps.csv,-0.0491398811324213,0.0020553839752043214,0.04533634276388339,0.06685889539106084,0.5401940657317661,mixed
curriculum_rl,1000,tracking_v2_holdout_11_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/curriculum_rl_seed_1000/tracking_v2_holdout_11_bumps.csv,0.05846470046196812,0.022941137573223563,0.15146332088404627,0.1623553472274049,0.1296744050923736,fluctuation_dominated
curriculum_rl,1000,tracking_v2_holdout_12_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/curriculum_rl_seed_1000/tracking_v2_holdout_12_bumps.csv,-0.04171955958120823,0.007821338939851931,0.08843833410830357,0.09778476666384142,0.182027507616757,fluctuation_dominated
curriculum_rl,1000,tracking_v2_holdout_13_bumps,bumps,progress|tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/curriculum_rl_seed_1000/tracking_v2_holdout_13_bumps.csv,-0.07302384539100325,0.0022401557835955185,0.047330284000790854,0.08702090426607084,0.7041776130209767,mixed
curriculum_rl,1000,tracking_v2_holdout_14_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/curriculum_rl_seed_1000/tracking_v2_holdout_14_bumps.csv,-0.09188922060900907,0.0037558006099404047,0.06128458705041917,0.11045102749214938,0.6921330937710722,mixed
curriculum_rl,1000,tracking_v2_holdout_15_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/curriculum_rl_seed_1000/tracking_v2_holdout_15_bumps.csv,-0.09974685999670804,8.893409689417629e-05,0.009430487627592557,0.10019166719890955,0.9911405840456113,bias_dominated_slow
curriculum_rl,1000,tracking_v2_holdout_16_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/curriculum_rl_seed_1000/tracking_v2_holdout_16_ramp.csv,0.010261055750769476,0.0002980739025757358,0.01726481689957168,0.020083903198734432,0.26102845661832147,mixed
curriculum_rl,1000,tracking_v2_holdout_17_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/curriculum_rl_seed_1000/tracking_v2_holdout_17_ramp.csv,0.00383940468422003,0.00038376940471957757,0.019590033300624518,0.019962726092615415,0.036990319717441406,fluctuation_dominated
